CMDLINE /usr/local/bin/python3 MemTest.py
CHLD 7 23.386719 1631459693.0067
CHLD 8 24.167969 1631459693.0068
CHLD 9 22.328125 1631459693.0068
MEM 17.867188 1631459693.1078
CHLD 0 8.042969 1631459693.1195
CHLD 1 24.285156 1631459693.1195
CHLD 2 23.773438 1631459693.1196
CHLD 3 23.750000 1631459693.1196
CHLD 4 23.003906 1631459693.1197
CHLD 5 22.664062 1631459693.1197
CHLD 6 24.160156 1631459693.1198
CHLD 7 24.070312 1631459693.1198
CHLD 8 24.796875 1631459693.1210
CHLD 9 22.816406 1631459693.1211
MEM 17.867188 1631459693.2220
CHLD 0 7.519531 1631459693.2331
CHLD 1 24.257812 1631459693.2331
CHLD 2 23.746094 1631459693.2332
CHLD 3 23.746094 1631459693.2332
CHLD 4 23.476562 1631459693.2332
CHLD 5 23.074219 1631459693.2333
CHLD 6 24.152344 1631459693.2333
CHLD 7 24.398438 1631459693.2333
CHLD 8 24.847656 1631459693.2333
CHLD 9 23.007812 1631459693.2334
MEM 17.867188 1631459693.3338
CHLD 0 7.519531 1631459693.3434
CHLD 1 24.476562 1631459693.3434
CHLD 2 23.761719 1631459693.3435
CHLD 3 23.746094 1631459693.3435
CHLD 4 23.789062 1631459693.3435
CHLD 5 23.503906 1631459693.3436
CHLD 6 24.152344 1631459693.3436
CHLD 7 24.871094 1631459693.3437
CHLD 8 25.308594 1631459693.3437
CHLD 9 23.761719 1631459693.3437
MEM 17.867188 1631459693.4507
CHLD 0 7.519531 1631459693.4589
CHLD 1 24.476562 1631459693.4589
CHLD 2 23.765625 1631459693.4590
CHLD 3 23.746094 1631459693.4590
CHLD 4 23.812500 1631459693.4590
CHLD 5 24.414062 1631459693.4591
CHLD 6 24.152344 1631459693.4591
CHLD 7 24.871094 1631459693.4591
CHLD 8 25.308594 1631459693.4592
CHLD 9 24.128906 1631459693.4592
MEM 17.867188 1631459693.5605
CHLD 0 7.519531 1631459693.5687
CHLD 1 24.476562 1631459693.5688
CHLD 2 23.765625 1631459693.5688
CHLD 3 23.792969 1631459693.5689
CHLD 4 23.824219 1631459693.5689
CHLD 5 24.859375 1631459693.5689
CHLD 6 24.152344 1631459693.5690
CHLD 7 24.871094 1631459693.5690
CHLD 8 25.308594 1631459693.5691
